,client_id,name39,name40,name41,name42,name43,name44,name45,name46,name47,name48,name49,name50,name51,name52,name53,name54,name55,name56,name57,name58,name59,name60,name61,name62,name63
96,0476e740b63e4626069de616100c8aeb,sleeping,sleeping,average,average,,,champions,,sleeping,loyal,average,average,champions,sleeping,sleeping,loyal,sleeping,sleeping,average,,average,sleeping,sleeping,,sleeping
97,04783b95c1fbf3feff776f457ea7ffb7,loyal,,average,,loyal,,loyal,,,,,,,,,,,,,sleeping,loyal,,,,loyal
98,0484bced3c4bcfefa0fa90ae2eeea990,sleeping,sleeping,,,sleeping,,average,,,,,,,,sleeping,,,,,sleeping,,,sleeping,average,
99,0496f84bcebe72c1f30550e86fc20a6b,sleeping,,,,,,,,,,,,,,,,,,,,,,,,
100,04a04e823f789933a200b5df88236d77,sleeping,,,,,,,,,,,,,,,,sleeping,,,,,,,,
101,04a48b35681b14ff21a8210f8cb4e3f4,sleeping,,,,average,,,,,,sleeping,,sleeping,,,sleeping,,,,,,,average,,
102,04ac8420c570bb6c03cb6c1e8855b46c,sleeping,,sleeping,sleeping,average,sleeping,,loyal,sleeping,champions,sleeping,champions,,,,sleeping,sleeping,loyal,sleeping,,average,sleeping,sleeping,sleeping,sleeping
103,04cd4d40ed4dbd1e30a84f54fe9f5af7,average,sleeping,,average,sleeping,,,,,,,average,loyal,average,average,average,average,,,average,,sleeping,,,sleeping
104,04ce8c2c4e6e3d0dfc9eb8960ee0fad1,sleeping,,,,,loyal,loyal,,,,,,,,,,,,,,,,,,
105,04dad8582d7d84de6f315303a5e9fb6d,sleeping,sleeping,loyal,,,,,,,,,,,,,,,,loyal,,,sleeping,,,
106,04ec3af94a9ecdaf17cb697c611e35c4,sleeping,sleeping,sleeping,average,sleeping,average,average,average,,,sleeping,,sleeping,,,,,,average,,average,,,,
107,04f6e28204b65444ef73b9d0fb337862,sleeping,sleeping,,,,,sleeping,,,,,,sleeping,,,,sleeping,,,,,sleeping,,sleeping,
108,05075d51abdffda3a44fb0d09d4835d3,sleeping,sleeping,,,,average,,,loyal,,,,sleeping,sleeping,,,,,sleeping,sleeping,,,,average,
109,05076644a49b1ab9a8115bdf88363b0c,sleeping,,,sleeping,,,,,sleeping,,,sleeping,,sleeping,,,,,,,sleeping,sleeping,,sleeping,
110,0510950160c73f2cc7411065740f8cac,sleeping,,,,average,,sleeping,,,,,,,sleeping,,,,,,,,sleeping,,sleeping,
111,052426e5c14a8e5f52a3c8cf258001c6,sleeping,,,,,,sleeping,,sleeping,,sleeping,,,,,,,,,,,,sleeping,sleeping,
112,054677f3f1786e7c2ba4556df387c46c,sleeping,,sleeping,,sleeping,,,,,,,,,,sleeping,,,champions,,,,,,sleeping,
113,054eba115be35a50ae515ad77cbb5cfd,sleeping,,,,sleeping,,,,,,,,,average,,,,sleeping,,,sleeping,,,,
114,0557f7aef21452c2768647ca2a9d63bb,sleeping,,,,,,,,,,,,,,,,,,,,,,,sleeping,
115,05696790c995b181b350b446962234ea,sleeping,sleeping,,sleeping,sleeping,,,,,sleeping,average,,,,,,,,sleeping,sleeping,sleeping,,,,
116,056c6a07b9c184181d738ac9cde0d446,sleeping,,,,,,,average,,,,sleeping,,loyal,,,sleeping,,,sleeping,,,sleeping,,
117,0594ea8d7aea4d520f9b34a7f5c5e5da,sleeping,,,,average,sleeping,sleeping,sleeping,sleeping,average,loyal,,,,,,average,,,,,sleeping,,,
118,059a226a1c6aa435d8b6e8fa7afe0d2c,sleeping,,average,,sleeping,sleeping,sleeping,,,,,,,,loyal,loyal,,,,,champions,sleeping,sleeping,champions,sleeping
119,05a2af495b0659ce7b5d456b516f6f46,sleeping,,,,,,,,loyal,sleeping,,,,sleeping,sleeping,,,,loyal,,,,sleeping,,sleeping
120,05a91d72c7817099c64f9b991a9fb1a2,sleeping,,,,,,,,,,,,average,,,,sleeping,sleeping,,,,,sleeping,,sleeping
121,05ac5fa268c33e7a9305499a1a7c8ab6,sleeping,,,,,,,,sleeping,,,,,average,,,,,,,,,,,sleeping
122,05cd8bde5481ae9897c1cab6837039ba,sleeping,,,,,,,,,,,,,,sleeping,,,,,,,,,,
123,05ced75a0be051a7ce8a0da2c539d6ff,sleeping,,,,sleeping,average,,,sleeping,,,,sleeping,sleeping,,,,,,,,average,,,
124,05d3232836d6c63b67b50c8848ddfdef,average,,,,average,sleeping,,champions,,,,average,loyal,,,,,,average,,average,sleeping,sleeping,,
125,05d8f3b762ea5480d246e9a8ce0ba345,sleeping,sleeping,,sleeping,,,sleeping,,sleeping,,,,,,sleeping,,,,,,,,,,
126,06260b54901db71cca1d1164e1fcf627,average,,sleeping,sleeping,sleeping,sleeping,,,sleeping,,,average,sleeping,average,,,,sleeping,sleeping,,,sleeping,average,sleeping,
127,0631d50e4c7ca2f98fd5b30172e04949,sleeping,,,,champions,,sleeping,loyal,,,,,,,,,,,,,,,,,
128,0633ac566fd0910417870cc28f8b2762,sleeping,sleeping,average,,,average,sleeping,,sleeping,,sleeping,,sleeping,average,,sleeping,,average,,,sleeping,average,,,sleeping
129,0636e70de6c5c84914f068c5c326146f,sleeping,,,,,,,,,,,,,,,,,,,,,sleeping,,,
130,06386f8bdee7f278d86e978b90bbf3c7,average,,sleeping,average,,sleeping,,,average,average,sleeping,,sleeping,,average,,,,,,average,,champions,,
131,0657598ab0d2893607c95b4840798143,average,average,average,average,average,,sleeping,champions,sleeping,loyal,sleeping,average,average,,,sleeping,,,average,average,average,sleeping,average,champions,
132,065885848071b69eac5909ba4982f709,champions,sleeping,,,,,,,,,sleeping,,,,,,,,,,,,,,
133,065994b00198c1f5e4cc7fdb83a4690d,sleeping,sleeping,sleeping,,loyal,,loyal,,,,,loyal,average,sleeping,,,sleeping,loyal,,,loyal,,,,
134,065a3df0ff3939357779609bb4a3723e,average,,,sleeping,sleeping,average,sleeping,,,,,,,,,,,sleeping,,,average,,average,champions,
135,065c23b6b34567e9bdc8399bd77ec30a,average,,,,,,,,,,,,,,,,,,,,,,,,loyal
136,065dfb8974c5b212ba0fd79648e9f0b0,average,,,sleeping,,,average,average,sleeping,sleeping,sleeping,average,sleeping,,average,average,average,,sleeping,average,average,,,average,
137,06678ec57d16fa76901e48fb858572d2,sleeping,,average,,,,,sleeping,sleeping,average,,,sleeping,average,sleeping,sleeping,,sleeping,,sleeping,,sleeping,,average,
138,066919d0b97093ffe6af4bf70e128890,,,,,sleeping,,,,,,sleeping,,,,sleeping,,,,,,sleeping,,,,
139,066d030ba14c25aa0285a2e10cd3700a,sleeping,,,,sleeping,,sleeping,sleeping,sleeping,,,sleeping,,,,,,loyal,sleeping,,,,,sleeping,
140,067cf8d0b462be16248c8cb4422467c5,sleeping,,,,,,,,,sleeping,,,,sleeping,sleeping,sleeping,,sleeping,,,,,,,sleeping
141,067f71128d07021e4a1329cd938c8c8d,average,sleeping,,,,,,,,,sleeping,,,,sleeping,sleeping,,,,,,,,sleeping,sleeping
142,0682449d65bdb7ecc14b89db25bd7ed8,average,sleeping,,,,,,,,sleeping,,average,,,sleeping,,,,sleeping,,sleeping,,,sleeping,
143,0688e8985ac28b4f922cdf2fea04f2b2,sleeping,,,,,,sleeping,,sleeping,,,,,sleeping,,,,,sleeping,,,,,,
144,069078e05120d823875f34a16604b000,sleeping,,,,,,sleeping,,,champions,,,,,sleeping,,,sleeping,,,,,,,
145,069c02a9b2b4a68bcdb8c0ee6482baf3,sleeping,,sleeping,,sleeping,,,,,average,,,,,,,,,,average,,,,,
146,06c1aa7128ccc0d950c437f24ccc01ce,sleeping,,,,,,average,average,champions,,,,,,sleeping,,,,,,,,sleeping,,
147,06c9ce7506967fe01ffadfb1b09273e9,average,,,,,,,,sleeping,champions,,sleeping,loyal,,,,,,sleeping,,,sleeping,,,
148,06cd2920eb1477fd59528df74e6ed082,sleeping,,sleeping,,sleeping,sleeping,,sleeping,,average,sleeping,loyal,,,,sleeping,,sleeping,,,sleeping,,sleeping,,
149,06f411c77ca5219b8bafe8cf6bfe8028,sleeping,,,,,,,,,,,,,,sleeping,,,,,,sleeping,sleeping,,,
150,06f73a8bc8574a9bd137e9469aa7a9c6,champions,loyal,average,,,,,,,,,,,,,,,,,,,,,,
151,0725c2c9f63e87f7f79b4791c4dc6e60,average,,,loyal,,,average,,,sleeping,,,champions,,loyal,,,,,,,,,,
152,07297ce927f2cc6a3bc47ec625120906,sleeping,,,,,sleeping,,,,sleeping,,average,,sleeping,average,,,sleeping,,,sleeping,,sleeping,,
153,072e1e5fcd8f905d2dcf9d47941b1297,sleeping,,sleeping,sleeping,,,sleeping,,,sleeping,,,,,,sleeping,sleeping,,,,,,sleeping,sleeping,
154,073817c3c6b216b49fe344c9e57aeb5d,loyal,,sleeping,sleeping,,,,,,sleeping,sleeping,,,,,,,average,sleeping,sleeping,sleeping,,,sleeping,sleeping
155,07394ed07d243ebdb76fd3f5792f301c,champions,,,,,,,,,,,,,,,,,,,,,,,,
156,07446abce2eec62a1360cc66f4114977,,,,,,,,,sleeping,,,,,sleeping,,,,,,,,,,,
157,0755d56e41f03d53998369252a31f051,sleeping,,sleeping,sleeping,sleeping,sleeping,average,sleeping,sleeping,,sleeping,,average,,loyal,,sleeping,,sleeping,,average,champions,,sleeping,sleeping
158,0762b113cab087a06117c5698014e88b,average,,sleeping,,,,,,,,,,,sleeping,sleeping,,,average,,,,,,sleeping,
159,077027d1d88859d47bc8ae1e584ba316,sleeping,,,sleeping,,,,,,,,,,,,,,,,,,,,,
160,07717fa77170a81ea9003856fbab8d6a,sleeping,,,,average,,sleeping,,,sleeping,,,average,average,,,sleeping,,sleeping,,sleeping,,,,
161,0774ac6e0c083281ced846e169093dc9,sleeping,sleeping,,,,,,,,,,,,,,,,,,,,sleeping,,,
162,07768af7f3630befb0651fe195b46e27,average,,,,,,,sleeping,,,,,,,sleeping,average,sleeping,,,,,,champions,,sleeping
163,07832257b2652a69d451fb79fb3385d2,sleeping,average,sleeping,,sleeping,sleeping,sleeping,,sleeping,,,,average,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,sleeping,,sleeping,sleeping,sleeping,sleeping
164,078435faf9b5bf81847a28716fbb3fba,average,,sleeping,,,,,sleeping,,,,,,,,,,,,,sleeping,sleeping,,sleeping,sleeping
165,0792d2c732f58279cf892007db15d5a5,loyal,average,,loyal,,,,,,,,loyal,,sleeping,,,,,,loyal,,,,champions,
166,07982e9abaea0ec5bfee03e8565957d1,average,,,,,,,,,,sleeping,,sleeping,,,,sleeping,,,,,sleeping,average,,
167,079ca029a85ee7639bc52d3970e7de93,sleeping,loyal,,,,,,,,,,sleeping,,sleeping,,,,,,,,,,,
168,079f146d3f91bd5c25261d51375ed62a,average,,,,sleeping,sleeping,,average,,sleeping,average,,,,sleeping,,sleeping,,average,sleeping,,,sleeping,,sleeping
169,07a1486cf7b0a2c2dd671dd718bb2ad8,loyal,,,,sleeping,,,average,sleeping,sleeping,,,,sleeping,,sleeping,sleeping,champions,,,,sleeping,,average,sleeping
170,07af2589de0708ae844cf55e353614ee,sleeping,,,,,,,,,,,,,,,,,,,,,,,,
171,07b3b7f853f25362ebc265362a305d09,sleeping,,sleeping,,,,,,sleeping,,sleeping,sleeping,average,sleeping,,champions,,sleeping,,,sleeping,,,sleeping,
172,07bf7e14d94bfbf68acd98bc59b62e42,champions,,,,,,,,,,,,,,,,,,,,,,,,
173,07dac5e24ffbc205f43b830e47ed7817,average,,champions,average,,,,champions,average,average,average,,loyal,,,,,,,,,,,,
174,07e2a53f457e41f7d5afe995184e211b,sleeping,sleeping,sleeping,,,sleeping,sleeping,sleeping,average,sleeping,average,sleeping,,,,sleeping,average,sleeping,sleeping,sleeping,sleeping,loyal,average,sleeping,
175,07f35ad68e5c854a065f1d77e4d3ad40,sleeping,,,,,,,,,,,,sleeping,sleeping,,,,,,,,,,,
176,07fdd5df78b1b8bdf5e3c42a7c9402b0,,sleeping,,,sleeping,,,,average,,,,,,,,sleeping,sleeping,,,,,,sleeping,sleeping
177,0815ca378d82a5cf84c0db702140a809,champions,,,,,,,,,,,,,,,,,,,,,,,,
178,082613eac149ecc60cc59e5c37c0ca71,loyal,,,,,,,,,,,,,,,,,,,loyal,,,loyal,,
179,083b2fcb600f85bd89804e5638d1fb17,sleeping,average,,average,sleeping,sleeping,,sleeping,sleeping,loyal,loyal,champions,average,champions,sleeping,average,average,average,average,average,champions,champions,average,champions,average
180,083d8cc53eef490256caf9e032382332,sleeping,,,,,,,,,,,,,,sleeping,,sleeping,loyal,,sleeping,,sleeping,,sleeping,
181,084cf1270893fe291b095218a6d9f925,average,average,sleeping,,sleeping,,sleeping,,,,,,,average,,,sleeping,sleeping,sleeping,,,,,sleeping,
182,084fb6c1bf941ae01a64c6a44f58f92f,average,,,,,,,,,,,,,,,,,,,,,,,,
