,index,client_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore,recency_score,frequency_score,monetary_score,rfm_score,segment_name
5228,23008,ea2a7b6ffe33134e946f1828a66b2e6d,30,1,47.39,2,1,1,211,1,1,1,111,LOST CUSTOMER
5229,23010,ea334304c0aa7229e21aa825e5b3b756,36,1,102.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5230,23011,ea36740ed93b9172dc4512d4e3517e6e,69,2,179.73,1,1,2,112,1,1,1,111,LOST CUSTOMER
5231,23012,ea370246ce289ade6e6bf74e42604cec,72,1,69.5,1,1,1,111,1,1,1,111,LOST CUSTOMER
5232,23013,ea3760e082e1c2b8de4b622ebddaed5c,78,2,61.58,1,1,1,111,1,1,1,111,LOST CUSTOMER
5233,23015,ea38d31080fe9efc30bd83c71ba6fd47,84,1,81.27,1,1,1,111,1,1,1,111,LOST CUSTOMER
5234,23016,ea3ef7874870b5351ab6291ad214b271,67,1,112.27,1,1,1,111,1,1,1,111,LOST CUSTOMER
5235,23023,ea4d413f473873c7f899c3f19d40748f,28,2,136.57999999999998,2,1,1,211,1,1,1,111,LOST CUSTOMER
5236,23026,ea4f21c3bb43d40e863e8311c615cb98,42,1,5.55,1,1,1,111,1,1,1,111,LOST CUSTOMER
5237,23028,ea5311e39b334870d700d47c75cdfe76,58,2,189.19,1,1,2,112,1,1,1,111,LOST CUSTOMER
5238,23029,ea53e51b73656c7f58d1ce4158a0e5c6,57,1,47.98,1,1,1,111,1,1,1,111,LOST CUSTOMER
5239,23042,ea77b0e4e45cbe60c667e78827180f59,30,2,24.18,2,1,1,211,1,1,1,111,LOST CUSTOMER
5240,23043,ea7e179f1ed35bd5616a5e084a22da3a,84,1,49.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5241,23045,ea80743f3c4250c7e70b8bc99820f339,74,1,62.98,1,1,1,111,1,1,1,111,LOST CUSTOMER
5242,23049,ea86c297e199cd85545a5854fd8b9544,51,1,25.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5243,23052,ea8bd48cdbb9d2f134179970da5a8a72,44,1,47.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5244,23056,ea9441c7ce98aa34a85ff7ee87b36fa3,56,1,24.69,1,1,1,111,1,1,1,111,LOST CUSTOMER
5245,23057,ea9d1c327bc4b3ea24c237656f77e677,40,2,43.96,1,1,1,111,1,1,1,111,LOST CUSTOMER
5246,23060,eaa0d2e2ffdb3d85708fd33555ee0e17,81,2,171.19,1,1,2,112,1,1,1,111,LOST CUSTOMER
5247,23061,eaa3a8f8c83d87c26648db6cd2e3c016,61,1,12.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5248,23062,eaa48e75e7dc3b932585510437e2c467,88,1,23.78,1,1,1,111,1,1,1,111,LOST CUSTOMER
5249,23081,ead3ace6444d8926605bb70e26e8c45b,29,1,59.98,2,1,1,211,1,1,1,111,LOST CUSTOMER
5250,23091,eaf518a05b6445961e5f19f302223e50,85,1,99.98,1,1,1,111,1,1,1,111,LOST CUSTOMER
5251,23099,eb0aae6d47d4599c906d42482eae6f61,51,2,96.97,1,1,1,111,1,1,1,111,LOST CUSTOMER
5252,23106,eb1a486202ea044c183a805db996f340,49,1,3.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5253,23112,eb2bb772d66268bb029f56ed702f403b,33,1,36.02,2,1,1,211,1,1,1,111,LOST CUSTOMER
5254,23118,eb3f54d63e272be46b9a89f6a0cf82ac,64,1,39.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5255,23122,eb479cc44012ff083bec342475072928,35,1,25.69,2,1,1,211,1,1,1,111,LOST CUSTOMER
5256,23130,eb5ae10481533d6cb6cd47eb71678d66,39,1,6.79,1,1,1,111,1,1,1,111,LOST CUSTOMER
5257,23132,eb608818b9129bb679c5bd67c50ad88f,31,2,179.97,2,1,2,212,1,1,1,111,LOST CUSTOMER
5258,23133,eb62ae89302eb86997d6b4822d880802,52,1,2.42,1,1,1,111,1,1,1,111,LOST CUSTOMER
5259,23136,eb6d1c3cd2cd94c0cb0272c5623ebce5,65,2,141.98,1,1,1,111,1,1,1,111,LOST CUSTOMER
5260,23139,eb755a736a4709df30e236597b2fe463,30,1,112.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5261,23150,eba5a8fa14815682d5d245898b1e43c7,45,1,139.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5262,23153,ebacaae4670902f5c79213ca62f7ab66,42,2,56.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5263,23172,ebd414c20b88ce49dc6d69ae4685db84,77,1,57.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5264,23173,ebd55637b75bd9cb0e6191d44923f1da,29,2,106.73,2,1,1,211,1,1,1,111,LOST CUSTOMER
5265,23176,ebdb510fd01f788f6635203534ecca2f,33,1,69.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5266,23180,ebe0b638ac28ded9f992146feadf6f68,45,2,177.26999999999995,1,1,2,112,1,1,1,111,LOST CUSTOMER
5267,23191,ebf53434a11562485517e3d500946827,65,1,46.38,1,1,1,111,1,1,1,111,LOST CUSTOMER
5268,23192,ebf9a1d167e5de6131e9b405a531360e,82,2,67.57,1,1,1,111,1,1,1,111,LOST CUSTOMER
5269,23193,ebfdd16d23f8e9c9df1635b5992c064c,37,1,47.0,1,1,1,111,1,1,1,111,LOST CUSTOMER
5270,23197,ec0a354b040d2420c16c43610c01fe35,61,1,199.87,1,1,2,112,1,1,1,111,LOST CUSTOMER
5271,23204,ec1addeaf97b5f2b8c10beed74200eeb,79,1,70.59,1,1,1,111,1,1,1,111,LOST CUSTOMER
5272,23209,ec28063f55bb854452c76c42536de5d2,39,1,115.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5273,23213,ec32d2ecd164b2b03c49b6b177e3efaf,58,1,54.89,1,1,1,111,1,1,1,111,LOST CUSTOMER
5274,23215,ec3672f0cad8c98538a6e9d454169e11,68,1,35.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5275,23219,ec4010fe6f55df38a37f0f425ad2b7b3,35,1,19.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5276,23224,ec569b357c2ec89f7bea54a2abdfb2cc,44,2,147.98,1,1,1,111,1,1,1,111,LOST CUSTOMER
5277,23225,ec58c3e9389811432b608bc04b028d15,79,1,35.59,1,1,1,111,1,1,1,111,LOST CUSTOMER
5278,23232,ec6c7e43f564978cbc5169f5c9da9a77,36,1,139.99,2,1,1,211,1,1,1,111,LOST CUSTOMER
5279,23233,ec6e5ec1473651da2a0bf7c5e2ab2bdd,87,2,27.5,1,1,1,111,1,1,1,111,LOST CUSTOMER
5280,23255,eca44f159e6dfd9a53366b5539f0ad95,43,2,78.47,1,1,1,111,1,1,1,111,LOST CUSTOMER
5281,23261,ecb109c667fc4edd4bfc3e4737900455,66,1,186.39,1,1,2,112,1,1,1,111,LOST CUSTOMER
5282,23263,ecb21855d47b4ebdc4f044fe7443787b,68,1,219.0,1,1,2,112,1,1,1,111,LOST CUSTOMER
5283,23264,ecb4b6c192dff27be34794eb57e6844f,72,1,73.78,1,1,1,111,1,1,1,111,LOST CUSTOMER
5284,23265,ecb54a202c3cf9ed3682f8b6f7445ad9,51,2,135.08,1,1,1,111,1,1,1,111,LOST CUSTOMER
5285,23268,ecb7cfc928279a43972ab4195426a7b6,52,1,6.79,1,1,1,111,1,1,1,111,LOST CUSTOMER
5286,23273,ecc9608d38301bf54726f23deb6fa6d0,74,1,44.99,1,1,1,111,1,1,1,111,LOST CUSTOMER
5287,23278,ecd6c712dcc957714fcac8f51843924e,60,1,25.83,1,1,1,111,1,1,1,111,LOST CUSTOMER
5288,23281,ecd872b87904af967f3f002611db587a,54,2,90.33,1,1,1,111,1,1,1,111,LOST CUSTOMER
5289,23292,ecf2f317b29a97fec561789bd3021c30,86,1,22.72,1,1,1,111,1,1,1,111,LOST CUSTOMER
5290,23295,ecf4c8b76a4a689ffbfe56a97c5e6785,89,1,84.49,1,1,1,111,1,1,1,111,LOST CUSTOMER
5291,23296,ecf53722333a30744666ad87b07556c0,75,1,198.99,1,1,2,112,1,1,1,111,LOST CUSTOMER
5292,23297,ecf5f511836109f9270d7b80362e507e,30,2,84.60000000000002,2,1,1,211,1,1,1,111,LOST CUSTOMER
